Date,Currency,Exchange
1/26/2015,AUD,1.27
1/26/2015,EUR,0.89
1/26/2015,GBP,0.67
1/27/2015,USD,1.00
1/27/2015,CAD,1.25
1/27/2015,AUD,1.26
1/27/2015,EUR,0.88
1/27/2015,GBP,0.66
1/28/2015,USD,1.00
1/28/2015,CAD,1.24
1/28/2015,AUD,1.25
1/28/2015,EUR,0.88
1/28/2015,GBP,0.66
1/29/2015,USD,1.00
1/29/2015,CAD,1.25
1/29/2015,AUD,1.28
1/29/2015,EUR,0.88
1/29/2015,GBP,0.66
1/30/2015,USD,1.00
1/30/2015,CAD,1.27
1/30/2015,AUD,1.29
1/30/2015,EUR,0.88
1/30/2015,GBP,0.66
1/31/2015,USD,1.00
1/31/2015,CAD,1.27
1/31/2015,AUD,1.29
1/31/2015,EUR,0.88
1/31/2015,GBP,0.66
2/1/2015,USD,1.00
2/1/2015,CAD,1.27
2/1/2015,AUD,1.29
2/1/2015,EUR,0.88
2/1/2015,GBP,0.66
2/2/2015,USD,1.00
2/2/2015,CAD,1.27
2/2/2015,AUD,1.28
2/2/2015,EUR,0.88
2/2/2015,GBP,0.67
2/3/2015,USD,1.00
2/3/2015,CAD,1.26
2/3/2015,AUD,1.30
2/3/2015,EUR,0.88
2/3/2015,GBP,0.66
2/4/2015,USD,1.00
2/4/2015,CAD,1.25
2/4/2015,AUD,1.29
2/4/2015,EUR,0.87
2/4/2015,GBP,0.66
2/5/2015,USD,1.00
2/5/2015,CAD,1.25
2/5/2015,AUD,1.28
2/5/2015,EUR,0.88
2/5/2015,GBP,0.66
2/6/2015,USD,1.00
2/6/2015,CAD,1.24
2/6/2015,AUD,1.27
2/6/2015,EUR,0.87
2/6/2015,GBP,0.65
2/7/2015,USD,1.00
2/7/2015,CAD,1.24
2/7/2015,AUD,1.27
2/7/2015,EUR,0.87
2/7/2015,GBP,0.65
2/8/2015,USD,1.00
2/8/2015,CAD,1.24
2/8/2015,AUD,1.27
2/8/2015,EUR,0.87
2/8/2015,GBP,0.65
2/9/2015,USD,1.00
2/9/2015,CAD,1.25
2/9/2015,AUD,1.28
2/9/2015,EUR,0.89
2/9/2015,GBP,0.66
2/10/2015,USD,1.00
2/10/2015,CAD,1.25
2/10/2015,AUD,1.29
2/10/2015,EUR,0.89
2/10/2015,GBP,0.66
2/11/2015,USD,1.00
2/11/2015,CAD,1.26
2/11/2015,AUD,1.29
2/11/2015,EUR,0.88
2/11/2015,GBP,0.65
2/12/2015,USD,1.00
2/12/2015,CAD,1.26
2/12/2015,AUD,1.30
2/12/2015,EUR,0.88
2/12/2015,GBP,0.65
2/13/2015,USD,1.00
2/13/2015,CAD,1.25
2/13/2015,AUD,1.29
2/13/2015,EUR,0.88
2/13/2015,GBP,0.65
2/14/2015,USD,1.00
2/14/2015,CAD,1.25
2/14/2015,AUD,1.29
2/14/2015,EUR,0.88
2/14/2015,GBP,0.65
2/15/2015,USD,1.00
2/15/2015,CAD,1.25
2/15/2015,AUD,1.29
2/15/2015,EUR,0.88
2/15/2015,GBP,0.65
2/16/2015,USD,1.00
2/16/2015,CAD,1.25
2/16/2015,AUD,1.29
2/16/2015,EUR,0.88
2/16/2015,GBP,0.65
2/17/2015,USD,1.00
2/17/2015,CAD,1.24
2/17/2015,AUD,1.28
2/17/2015,EUR,0.88
2/17/2015,GBP,0.65
2/18/2015,USD,1.00
2/18/2015,CAD,1.25
2/18/2015,AUD,1.28
2/18/2015,EUR,0.88
2/18/2015,GBP,0.65
2/19/2015,USD,1.00
2/19/2015,CAD,1.25
2/19/2015,AUD,1.29
2/19/2015,EUR,0.88
2/19/2015,GBP,0.65
2/20/2015,USD,1.00
2/20/2015,CAD,1.25
2/20/2015,AUD,1.27
2/20/2015,EUR,0.89
2/20/2015,GBP,0.65
2/21/2015,USD,1.00
2/21/2015,CAD,1.25
2/21/2015,AUD,1.27
2/21/2015,EUR,0.89
2/21/2015,GBP,0.65
2/22/2015,USD,1.00
2/22/2015,CAD,1.25
2/22/2015,AUD,1.27
2/22/2015,EUR,0.89
2/22/2015,GBP,0.65
2/23/2015,USD,1.00
2/23/2015,CAD,1.26
2/23/2015,AUD,1.28
2/23/2015,EUR,0.89
2/23/2015,GBP,0.65
2/24/2015,USD,1.00
2/24/2015,CAD,1.26
2/24/2015,AUD,1.29
2/24/2015,EUR,0.88
2/24/2015,GBP,0.65
2/25/2015,USD,1.00
2/25/2015,CAD,1.24
2/25/2015,AUD,1.27
2/25/2015,EUR,0.88
2/25/2015,GBP,0.65
2/26/2015,USD,1.00
2/26/2015,CAD,1.25
2/26/2015,AUD,1.27
2/26/2015,EUR,0.88
2/26/2015,GBP,0.65
2/27/2015,USD,1.00
2/27/2015,CAD,1.25
2/27/2015,AUD,1.28
2/27/2015,EUR,0.89
2/27/2015,GBP,0.65
2/28/2015,USD,1.00
2/28/2015,CAD,1.25
2/28/2015,AUD,1.28
2/28/2015,EUR,0.89
2/28/2015,GBP,0.65
3/1/2015,USD,1.00
3/1/2015,CAD,1.25
3/1/2015,AUD,1.28
3/1/2015,EUR,0.89
3/1/2015,GBP,0.65
3/2/2015,USD,1.00
3/2/2015,CAD,1.25
3/2/2015,AUD,1.29
3/2/2015,EUR,0.89
3/2/2015,GBP,0.65
3/3/2015,USD,1.00
3/3/2015,CAD,1.25
3/3/2015,AUD,1.28
3/3/2015,EUR,0.90
3/3/2015,GBP,0.65
3/4/2015,USD,1.00
3/4/2015,CAD,1.25
3/4/2015,AUD,1.28
3/4/2015,EUR,0.90
3/4/2015,GBP,0.65
3/5/2015,USD,1.00
3/5/2015,CAD,1.24
3/5/2015,AUD,1.28
3/5/2015,EUR,0.90
3/5/2015,GBP,0.66
3/6/2015,USD,1.00
3/6/2015,CAD,1.25
3/6/2015,AUD,1.28
3/6/2015,EUR,0.91
3/6/2015,GBP,0.66
3/7/2015,USD,1.00
3/7/2015,CAD,1.25
3/7/2015,AUD,1.28
3/7/2015,EUR,0.91
3/7/2015,GBP,0.66
3/8/2015,USD,1.00
3/8/2015,CAD,1.25
3/8/2015,AUD,1.28
3/8/2015,EUR,0.91
3/8/2015,GBP,0.66
3/9/2015,USD,1.00
3/9/2015,CAD,1.26
3/9/2015,AUD,1.29
3/9/2015,EUR,0.92
3/9/2015,GBP,0.66
3/10/2015,USD,1.00
3/10/2015,CAD,1.26
3/10/2015,AUD,1.31
3/10/2015,EUR,0.93
3/10/2015,GBP,0.66
3/11/2015,USD,1.00
3/11/2015,CAD,1.27
3/11/2015,AUD,1.31
3/11/2015,EUR,0.95
3/11/2015,GBP,0.67
3/12/2015,USD,1.00
3/12/2015,CAD,1.27
3/12/2015,AUD,1.30
3/12/2015,EUR,0.94
3/12/2015,GBP,0.67
3/13/2015,USD,1.00
3/13/2015,CAD,1.27
3/13/2015,AUD,1.31
3/13/2015,EUR,0.95
3/13/2015,GBP,0.68
3/14/2015,USD,1.00
3/14/2015,CAD,1.27
3/14/2015,AUD,1.31
3/14/2015,EUR,0.95
3/14/2015,GBP,0.68
3/15/2015,USD,1.00
3/15/2015,CAD,1.27
3/15/2015,AUD,1.31
3/15/2015,EUR,0.95
3/15/2015,GBP,0.68
3/16/2015,USD,1.00
3/16/2015,CAD,1.28
3/16/2015,AUD,1.31
3/16/2015,EUR,0.95
3/16/2015,GBP,0.68
3/17/2015,USD,1.00
3/17/2015,CAD,1.28
3/17/2015,AUD,1.31
3/17/2015,EUR,0.94
3/17/2015,GBP,0.68
3/18/2015,USD,1.00
3/18/2015,CAD,1.28
3/18/2015,AUD,1.31
3/18/2015,EUR,0.94
3/18/2015,GBP,0.68
3/19/2015,USD,1.00
3/19/2015,CAD,1.27
3/19/2015,AUD,1.31
3/19/2015,EUR,0.94
3/19/2015,GBP,0.67
3/20/2015,USD,1.00
3/20/2015,CAD,1.27
3/20/2015,AUD,1.30
3/20/2015,EUR,0.93
3/20/2015,GBP,0.67
3/21/2015,USD,1.00
3/21/2015,CAD,1.27
3/21/2015,AUD,1.30
3/21/2015,EUR,0.93
3/21/2015,GBP,0.67
3/22/2015,USD,1.00
3/22/2015,CAD,1.27
3/22/2015,AUD,1.30
3/22/2015,EUR,0.93
3/22/2015,GBP,0.67
3/23/2015,USD,1.00
3/23/2015,CAD,1.25
3/23/2015,AUD,1.28
3/23/2015,EUR,0.92
3/23/2015,GBP,0.67
3/24/2015,USD,1.00
3/24/2015,CAD,1.25
3/24/2015,AUD,1.26
3/24/2015,EUR,0.91
3/24/2015,GBP,0.67
3/25/2015,USD,1.00
3/25/2015,CAD,1.25
3/25/2015,AUD,1.27
3/25/2015,EUR,0.91
3/25/2015,GBP,0.67
3/26/2015,USD,1.00
3/26/2015,CAD,1.24
3/26/2015,AUD,1.27
3/26/2015,EUR,0.91
3/26/2015,GBP,0.67
3/27/2015,USD,1.00
3/27/2015,CAD,1.25
3/27/2015,AUD,1.28
3/27/2015,EUR,0.92
3/27/2015,GBP,0.67
3/28/2015,USD,1.00
3/28/2015,CAD,1.25
3/28/2015,AUD,1.28
3/28/2015,EUR,0.92
3/28/2015,GBP,0.67
3/29/2015,USD,1.00
3/29/2015,CAD,1.25
3/29/2015,AUD,1.28
3/29/2015,EUR,0.92
3/29/2015,GBP,0.67
3/30/2015,USD,1.00
3/30/2015,CAD,1.26
3/30/2015,AUD,1.31
3/30/2015,EUR,0.92
3/30/2015,GBP,0.68
3/31/2015,USD,1.00
3/31/2015,CAD,1.28
3/31/2015,AUD,1.32
3/31/2015,EUR,0.93
3/31/2015,GBP,0.68
4/1/2015,USD,1.00
4/1/2015,CAD,1.27
4/1/2015,AUD,1.32
4/1/2015,EUR,0.93
4/1/2015,GBP,0.68
4/2/2015,USD,1.00
4/2/2015,CAD,1.26
4/2/2015,AUD,1.32
4/2/2015,EUR,0.92
4/2/2015,GBP,0.68
4/3/2015,USD,1.00
4/3/2015,CAD,1.26
4/3/2015,AUD,1.32
4/3/2015,EUR,0.92
4/3/2015,GBP,0.68
4/4/2015,USD,1.00
4/4/2015,CAD,1.26
4/4/2015,AUD,1.32
4/4/2015,EUR,0.92
4/4/2015,GBP,0.68
4/5/2015,USD,1.00
4/5/2015,CAD,1.26
4/5/2015,AUD,1.32
4/5/2015,EUR,0.92
4/5/2015,GBP,0.68
4/6/2015,USD,1.00
4/6/2015,CAD,1.26
4/6/2015,AUD,1.32
4/6/2015,EUR,0.92
4/6/2015,GBP,0.68
4/7/2015,USD,1.00
4/7/2015,CAD,1.25
4/7/2015,AUD,1.31
4/7/2015,EUR,0.92
4/7/2015,GBP,0.67
4/8/2015,USD,1.00
4/8/2015,CAD,1.24
4/8/2015,AUD,1.30
4/8/2015,EUR,0.92
4/8/2015,GBP,0.67
4/9/2015,USD,1.00
4/9/2015,CAD,1.25
4/9/2015,AUD,1.29
4/9/2015,EUR,0.93
4/9/2015,GBP,0.67
4/10/2015,USD,1.00
4/10/2015,CAD,1.27
4/10/2015,AUD,1.31
4/10/2015,EUR,0.95
4/10/2015,GBP,0.69
4/11/2015,USD,1.00
4/11/2015,CAD,1.27
4/11/2015,AUD,1.31
4/11/2015,EUR,0.95
4/11/2015,GBP,0.69
4/12/2015,USD,1.00
4/12/2015,CAD,1.27
4/12/2015,AUD,1.31
4/12/2015,EUR,0.95
4/12/2015,GBP,0.69
4/13/2015,USD,1.00
4/13/2015,CAD,1.26
4/13/2015,AUD,1.32
4/13/2015,EUR,0.95
4/13/2015,GBP,0.68
4/14/2015,USD,1.00
4/14/2015,CAD,1.26
4/14/2015,AUD,1.32
4/14/2015,EUR,0.95
4/14/2015,GBP,0.68
4/15/2015,USD,1.00
4/15/2015,CAD,1.26
4/15/2015,AUD,1.32
4/15/2015,EUR,0.95
4/15/2015,GBP,0.68
4/16/2015,USD,1.00
4/16/2015,CAD,1.23
4/16/2015,AUD,1.29
4/16/2015,EUR,0.93
4/16/2015,GBP,0.67
4/17/2015,USD,1.00
4/17/2015,CAD,1.22
4/17/2015,AUD,1.28
4/17/2015,EUR,0.92
4/17/2015,GBP,0.67
4/18/2015,USD,1.00
4/18/2015,CAD,1.22
4/18/2015,AUD,1.28
4/18/2015,EUR,0.92
4/18/2015,GBP,0.67
4/19/2015,USD,1.00
4/19/2015,CAD,1.22
4/19/2015,AUD,1.28
4/19/2015,EUR,0.92
4/19/2015,GBP,0.67
4/20/2015,USD,1.00
4/20/2015,CAD,1.23
4/20/2015,AUD,1.29
4/20/2015,EUR,0.93
4/20/2015,GBP,0.67
4/21/2015,USD,1.00
4/21/2015,CAD,1.22
4/21/2015,AUD,1.29
4/21/2015,EUR,0.93
4/21/2015,GBP,0.67
4/22/2015,USD,1.00
4/22/2015,CAD,1.22
4/22/2015,AUD,1.28
4/22/2015,EUR,0.93
4/22/2015,GBP,0.66
4/23/2015,USD,1.00
4/23/2015,CAD,1.22
4/23/2015,AUD,1.29
4/23/2015,EUR,0.93
4/23/2015,GBP,0.67
4/24/2015,USD,1.00
4/24/2015,CAD,1.21
4/24/2015,AUD,1.28
4/24/2015,EUR,0.92
4/24/2015,GBP,0.66
4/25/2015,USD,1.00
4/25/2015,CAD,1.21
4/25/2015,AUD,1.28
4/25/2015,EUR,0.92
4/25/2015,GBP,0.66
4/26/2015,USD,1.00
4/26/2015,CAD,1.21
4/26/2015,AUD,1.28
4/26/2015,EUR,0.92
4/26/2015,GBP,0.66
4/27/2015,USD,1.00
4/27/2015,CAD,1.22
4/27/2015,AUD,1.28
4/27/2015,EUR,0.92
4/27/2015,GBP,0.66
4/28/2015,USD,1.00
4/28/2015,CAD,1.21
4/28/2015,AUD,1.26
4/28/2015,EUR,0.92
4/28/2015,GBP,0.65
4/29/2015,USD,1.00
4/29/2015,CAD,1.21
4/29/2015,AUD,1.25
4/29/2015,EUR,0.91
4/29/2015,GBP,0.65
4/30/2015,USD,1.00
4/30/2015,CAD,1.20
4/30/2015,AUD,1.26
4/30/2015,EUR,0.89
4/30/2015,GBP,0.65
5/1/2015,USD,1.00
5/1/2015,CAD,1.20
5/1/2015,AUD,1.26
5/1/2015,EUR,0.89
5/1/2015,GBP,0.65
5/2/2015,USD,1.00
5/2/2015,CAD,1.20
5/2/2015,AUD,1.26
5/2/2015,EUR,0.89
5/2/2015,GBP,0.65
5/3/2015,USD,1.00
5/3/2015,CAD,1.20
5/3/2015,AUD,1.26
5/3/2015,EUR,0.89
5/3/2015,GBP,0.65
5/4/2015,USD,1.00
5/4/2015,CAD,1.21
5/4/2015,AUD,1.28
5/4/2015,EUR,0.90
5/4/2015,GBP,0.66
5/5/2015,USD,1.00
5/5/2015,CAD,1.21
5/5/2015,AUD,1.27
5/5/2015,EUR,0.90
5/5/2015,GBP,0.66
5/6/2015,USD,1.00
5/6/2015,CAD,1.20
5/6/2015,AUD,1.25
5/6/2015,EUR,0.89
5/6/2015,GBP,0.66
5/7/2015,USD,1.00
5/7/2015,CAD,1.21
5/7/2015,AUD,1.25
5/7/2015,EUR,0.88
5/7/2015,GBP,0.66
5/8/2015,USD,1.00
5/8/2015,CAD,1.21
5/8/2015,AUD,1.26
5/8/2015,EUR,0.89
5/8/2015,GBP,0.65
5/9/2015,USD,1.00
5/9/2015,CAD,1.21
5/9/2015,AUD,1.26
5/9/2015,EUR,0.89
5/9/2015,GBP,0.65
5/10/2015,USD,1.00
5/10/2015,CAD,1.21
5/10/2015,AUD,1.26
5/10/2015,EUR,0.89
5/10/2015,GBP,0.65
5/11/2015,USD,1.00
5/11/2015,CAD,1.21
5/11/2015,AUD,1.27
5/11/2015,EUR,0.90
5/11/2015,GBP,0.65
5/12/2015,USD,1.00
5/12/2015,CAD,1.20
5/12/2015,AUD,1.25
5/12/2015,EUR,0.89
5/12/2015,GBP,0.64
5/13/2015,USD,1.00
5/13/2015,CAD,1.20
5/13/2015,AUD,1.24
5/13/2015,EUR,0.89
5/13/2015,GBP,0.64
5/14/2015,USD,1.00
5/14/2015,CAD,1.19
5/14/2015,AUD,1.23
5/14/2015,EUR,0.88
5/14/2015,GBP,0.63
5/15/2015,USD,1.00
5/15/2015,CAD,1.20
5/15/2015,AUD,1.25
5/15/2015,EUR,0.88
5/15/2015,GBP,0.64
5/16/2015,USD,1.00
5/16/2015,CAD,1.20
5/16/2015,AUD,1.25
5/16/2015,EUR,0.88
5/16/2015,GBP,0.64
5/17/2015,USD,1.00
5/17/2015,CAD,1.20
5/17/2015,AUD,1.25
5/17/2015,EUR,0.88
5/17/2015,GBP,0.64
5/18/2015,USD,1.00
5/18/2015,CAD,1.21
5/18/2015,AUD,1.25
5/18/2015,EUR,0.88
5/18/2015,GBP,0.64
5/19/2015,USD,1.00
5/19/2015,CAD,1.22
5/19/2015,AUD,1.25
5/19/2015,EUR,0.89
5/19/2015,GBP,0.65
5/20/2015,USD,1.00
5/20/2015,CAD,1.22
5/20/2015,AUD,1.27
5/20/2015,EUR,0.90
5/20/2015,GBP,0.64
5/21/2015,USD,1.00
5/21/2015,CAD,1.22
5/21/2015,AUD,1.27
5/21/2015,EUR,0.90
5/21/2015,GBP,0.64
5/22/2015,USD,1.00
5/22/2015,CAD,1.22
5/22/2015,AUD,1.27
5/22/2015,EUR,0.90
5/22/2015,GBP,0.64
5/23/2015,USD,1.00
5/23/2015,CAD,1.22
5/23/2015,AUD,1.27
5/23/2015,EUR,0.90
5/23/2015,GBP,0.64
5/24/2015,USD,1.00
5/24/2015,CAD,1.22
5/24/2015,AUD,1.27
5/24/2015,EUR,0.90
5/24/2015,GBP,0.64
5/25/2015,USD,1.00
5/25/2015,CAD,1.23
5/25/2015,AUD,1.28
5/25/2015,EUR,0.91
5/25/2015,GBP,0.65
5/26/2015,USD,1.00
5/26/2015,CAD,1.24
5/26/2015,AUD,1.28
5/26/2015,EUR,0.92
5/26/2015,GBP,0.65
5/27/2015,USD,1.00
5/27/2015,CAD,1.25
5/27/2015,AUD,1.30
5/27/2015,EUR,0.92
5/27/2015,GBP,0.65
5/28/2015,USD,1.00
5/28/2015,CAD,1.25
5/28/2015,AUD,1.31
5/28/2015,EUR,0.92
5/28/2015,GBP,0.65
5/29/2015,USD,1.00
5/29/2015,CAD,1.24
5/29/2015,AUD,1.31
5/29/2015,EUR,0.91
5/29/2015,GBP,0.66
5/30/2015,USD,1.00
5/30/2015,CAD,1.24
5/30/2015,AUD,1.31
5/30/2015,EUR,0.91
5/30/2015,GBP,0.66
5/31/2015,USD,1.00
5/31/2015,CAD,1.24
5/31/2015,AUD,1.31
5/31/2015,EUR,0.91
5/31/2015,GBP,0.66
6/1/2015,USD,1.00
6/1/2015,CAD,1.25
6/1/2015,AUD,1.31
6/1/2015,EUR,0.91
6/1/2015,GBP,0.66
6/2/2015,USD,1.00
6/2/2015,CAD,1.25
6/2/2015,AUD,1.30
6/2/2015,EUR,0.91
6/2/2015,GBP,0.66
6/3/2015,USD,1.00
6/3/2015,CAD,1.24
6/3/2015,AUD,1.29
6/3/2015,EUR,0.90
6/3/2015,GBP,0.65
6/4/2015,USD,1.00
6/4/2015,CAD,1.24
6/4/2015,AUD,1.29
6/4/2015,EUR,0.88
6/4/2015,GBP,0.65
6/5/2015,USD,1.00
6/5/2015,CAD,1.25
6/5/2015,AUD,1.30
6/5/2015,EUR,0.89
6/5/2015,GBP,0.65
6/6/2015,USD,1.00
6/6/2015,CAD,1.25
6/6/2015,AUD,1.30
6/6/2015,EUR,0.89
6/6/2015,GBP,0.65
6/7/2015,USD,1.00
6/7/2015,CAD,1.25
6/7/2015,AUD,1.30
6/7/2015,EUR,0.89
6/7/2015,GBP,0.65
6/8/2015,USD,1.00
6/8/2015,CAD,1.24
6/8/2015,AUD,1.31
6/8/2015,EUR,0.90
6/8/2015,GBP,0.66
6/9/2015,USD,1.00
6/9/2015,CAD,1.23
6/9/2015,AUD,1.30
6/9/2015,EUR,0.89
6/9/2015,GBP,0.65
6/10/2015,USD,1.00
6/10/2015,CAD,1.22
6/10/2015,AUD,1.29
6/10/2015,EUR,0.89
6/10/2015,GBP,0.65
6/11/2015,USD,1.00
6/11/2015,CAD,1.23
6/11/2015,AUD,1.29
6/11/2015,EUR,0.89
6/11/2015,GBP,0.65
6/12/2015,USD,1.00
6/12/2015,CAD,1.23
6/12/2015,AUD,1.30
6/12/2015,EUR,0.89
6/12/2015,GBP,0.65
6/13/2015,USD,1.00
6/13/2015,CAD,1.23
6/13/2015,AUD,1.30
6/13/2015,EUR,0.89
6/13/2015,GBP,0.65
6/14/2015,USD,1.00
6/14/2015,CAD,1.23
6/14/2015,AUD,1.30
6/14/2015,EUR,0.89
6/14/2015,GBP,0.65
6/15/2015,USD,1.00
6/15/2015,CAD,1.23
6/15/2015,AUD,1.29
6/15/2015,EUR,0.89
6/15/2015,GBP,0.64
6/16/2015,USD,1.00
6/16/2015,CAD,1.23
6/16/2015,AUD,1.29
6/16/2015,EUR,0.89
6/16/2015,GBP,0.64
6/17/2015,USD,1.00
6/17/2015,CAD,1.23
6/17/2015,AUD,1.30
6/17/2015,EUR,0.89
6/17/2015,GBP,0.64
6/18/2015,USD,1.00
6/18/2015,CAD,1.22
6/18/2015,AUD,1.28
6/18/2015,EUR,0.88
6/18/2015,GBP,0.63
6/19/2015,USD,1.00
6/19/2015,CAD,1.23
6/19/2015,AUD,1.29
6/19/2015,EUR,0.89
6/19/2015,GBP,0.63
6/20/2015,USD,1.00
6/20/2015,CAD,1.23
6/20/2015,AUD,1.29
6/20/2015,EUR,0.89
6/20/2015,GBP,0.63
6/21/2015,USD,1.00
6/21/2015,CAD,1.23
6/21/2015,AUD,1.29
6/21/2015,EUR,0.89
6/21/2015,GBP,0.63
6/22/2015,USD,1.00
6/22/2015,CAD,1.22
6/22/2015,AUD,1.29
6/22/2015,EUR,0.88
6/22/2015,GBP,0.63
6/23/2015,USD,1.00
6/23/2015,CAD,1.23
6/23/2015,AUD,1.30
6/23/2015,EUR,0.89
6/23/2015,GBP,0.63
6/24/2015,USD,1.00
6/24/2015,CAD,1.23
6/24/2015,AUD,1.29
6/24/2015,EUR,0.89
6/24/2015,GBP,0.63
6/25/2015,USD,1.00
6/25/2015,CAD,1.24
6/25/2015,AUD,1.29
6/25/2015,EUR,0.89
6/25/2015,GBP,0.64
6/26/2015,USD,1.00
6/26/2015,CAD,1.24
6/26/2015,AUD,1.31
6/26/2015,EUR,0.89
6/26/2015,GBP,0.64
6/27/2015,USD,1.00
6/27/2015,CAD,1.24
6/27/2015,AUD,1.31
6/27/2015,EUR,0.89
6/27/2015,GBP,0.64
6/28/2015,USD,1.00
6/28/2015,CAD,1.24
6/28/2015,AUD,1.31
6/28/2015,EUR,0.89
6/28/2015,GBP,0.64
6/29/2015,USD,1.00
6/29/2015,CAD,1.24
6/29/2015,AUD,1.30
6/29/2015,EUR,0.90
6/29/2015,GBP,0.64
6/30/2015,USD,1.00
6/30/2015,CAD,1.24
6/30/2015,AUD,1.30
6/30/2015,EUR,0.89
6/30/2015,GBP,0.64
7/1/2015,USD,1.00
7/1/2015,CAD,1.25
7/1/2015,AUD,1.30
7/1/2015,EUR,0.90
7/1/2015,GBP,0.64
7/2/2015,USD,1.00
7/2/2015,CAD,1.26
7/2/2015,AUD,1.32
7/2/2015,EUR,0.90
7/2/2015,GBP,0.64
7/3/2015,USD,1.00
7/3/2015,CAD,1.26
7/3/2015,AUD,1.33
7/3/2015,EUR,0.90
7/3/2015,GBP,0.64
7/4/2015,USD,1.00
7/4/2015,CAD,1.26
7/4/2015,AUD,1.33
7/4/2015,EUR,0.90
7/4/2015,GBP,0.64
7/5/2015,USD,1.00
7/5/2015,CAD,1.26
7/5/2015,AUD,1.33
7/5/2015,EUR,0.90
7/5/2015,GBP,0.64
7/6/2015,USD,1.00
7/6/2015,CAD,1.26
7/6/2015,AUD,1.33
7/6/2015,EUR,0.91
7/6/2015,GBP,0.64
7/7/2015,USD,1.00
7/7/2015,CAD,1.27
7/7/2015,AUD,1.35
7/7/2015,EUR,0.91
7/7/2015,GBP,0.65
7/8/2015,USD,1.00
7/8/2015,CAD,1.27
7/8/2015,AUD,1.35
7/8/2015,EUR,0.91
